Term,Subject,Number,CCN,Title,Type,Section#,Instructor,Meeting Times,Rejected Student Cnt,Enrollment Limit,Waitlist Limit Cnt,Enrollment Cnt,% Class Filled,% Class Filled,Waitlist Cnt,Include Sb Week Desc
2018 Spring,Computer Science,186,35632,Intro To Database,Lecture,1,Mehul Shah,Tue Thu 11:00a-12:29p,692,499,300,439,87.97595,87.97595,0,Week 04
2018 Spring,Computer Science,188,35647,Artif Intelligence,Lecture,1,Anca Dragan; Mohamad Baroudi; Sergey Levine,Mon Wed 05:00p-06:29p,885,730,500,673,92.19178,92.19178,0,Week 04
2018 Spring,Computer Science,189,35661,Intro Machine Learn,Lecture,1,Anant Sahai; Jennifer Listgarten,Tue Thu 03:30p-04:59p,594,368,300,319,86.68478,86.68478,1,Week 04
2018 Spring,Computer Science,194,41670,Special Topics,Lecture,28,Jonathan Bachrach,Tue Thu 03:30p-04:59p,49,30,40,17,56.66667,56.66667,0,Week 04
2018 Spring,Computer Science,194,41752,Special Topics,Lecture,129,John Canny,Mon Wed 05:00p-06:29p,246,116,140,116,100,100,20,Week 04
2018 Spring,Computer Science,195,41951,Social Implic Comp,Lecture,1,Daniel Garcia; John DeNero; Joshua Hug,Mon 04:00p-05:29p,252,250,100,229,91.6,91.6,0,Week 04
2018 Spring,Computer Science,197,16273,Field Study,Field Work,1,Paul Hilfinger,12:00a-12:00a,5,31,31,23,74.19355,74.19355,0,Week 04
2018 Spring,Computer Science,197,16274,Field Study,Field Work,200,Daniel Garcia,12:00a-12:00a,,80,80,48,60,60,0,Week 04
2018 Spring,Computer Science,197,16277,Field Study,Field Work,203,Joshua Hug,12:00a-12:00a,5,200,75,54,27,27,0,Week 04
2018 Spring,Computer Science,197,16278,Field Study,Field Work,204,Anant Sahai,12:00a-12:00a,4,75,37,32,42.66667,42.66667,0,Week 04
2018 Spring,Computer Science,197,16279,Field Study,Field Work,205,John DeNero,12:00a-12:00a,,250,100,54,21.6,21.6,0,Week 04
2018 Spring,Computer Science,197,16280,Field Study,Field Work,206,Dylan Dreyer; Nicholas Weaver; Peijie Li,12:00a-12:00a,,75,37,15,20,20,0,Week 04
2018 Spring,Computer Science,197,16282,Field Study,Field Work,210,Babak Ayazifar; Satish Rao,12:00a-12:00a,,120,37,4,3.333333,3.333333,0,Week 04
2018 Spring,Computer Science,197,16283,Field Study,Field Work,211,Bjorn Hartmann,12:00a-12:00a,1,75,37,5,6.666667,6.666667,0,Week 04
2018 Spring,Computer Science,197,16285,Field Study,Field Work,214,Christopher Hunn,12:00a-12:00a,4,1000,30,275,27.5,27.5,0,Week 04
2018 Spring,Computer Science,197,16286,Field Study,Field Work,215,Christopher Hunn,12:00a-12:00a,1,500,30,28,5.6,5.6,0,Week 04
2018 Spring,Computer Science,197,42555,Field Study,Field Work,217,Gerald Friedland,,2,40,20,6,15,15,0,Week 04
2018 Spring,Computer Science,197,42877,Field Study,Field Work,221,Yi-Ren Ng,,,25,0,7,28,28,0,Week 04
2018 Spring,Computer Science,197,42878,Field Study,Field Work,222,Alessandro Chiesa,,1,25,0,1,4,4,0,Week 04
2018 Spring,Computer Science,197,43032,Field Study,Field Work,228,Joseph Hellerstein,,,100,20,1,1,1,0,Week 04
2018 Spring,Computer Science,197,43093,Field Study,Field Work,229,Fernando Perez; Joseph Gonzalez,,,120,60,4,3.333333,3.333333,0,Week 04
2018 Spring,Computer Science,198,35690,Directed Group Stdy,Directed Group Study,1,Daniel Garcia; Daniel Garcia; Daniel Garcia,Mon 06:30p-07:59p; Wed 06:30p-07:59p,36,65,120,89,136.9231,136.9231,0,Week 04
2018 Spring,Computer Science,198,35691,Directed Group Stdy,Directed Group Study,2,Daniel Garcia,Mon Wed 03:00p-03:59p,8,24,20,13,54.16667,54.16667,0,Week 04
2018 Spring,Computer Science,198,35692,Directed Group Stdy,Directed Group Study,3,Daniel Garcia,Tue 07:00p-08:59p,8,40,33,25,62.5,62.5,0,Week 04
2018 Spring,Computer Science,198,42610,Directed Group Stdy,Directed Group Study,8,Paul Hilfinger,Tue Thu 08:00p-08:59p,14,80,40,62,77.5,77.5,0,Week 04
2018 Spring,Computer Science,198,42558,Directed Group Stdy,Directed Group Study,47,Armando Fox; Nhi Quach,Thu 06:30p-07:59p,18,98,0,75,76.53061,76.53061,0,Week 04
2018 Spring,Computer Science,198,42698,Directed Group Stdy,Directed Group Study,52,John DeNero,Wed 04:00p-04:59p,3,102,40,37,36.27451,36.27451,0,Week 04
2018 Spring,Computer Science,198,42332,Directed Group Stdy,Directed Group Study,56,Bjorn Hartmann; Bjorn Hartmann,Mon 05:30p-06:59p; Thu 05:00p-06:29p,49,100,10,81,81,81,0,Week 04
2018 Spring,Computer Science,198,42560,Directed Group Stdy,Directed Group Study,58,Joshua Hug,Tue Thu 05:00p-06:29p,12,65,0,35,53.84615,53.84615,0,Week 04
2018 Spring,Computer Science,198,41834,Directed Group Stdy,Directed Group Study,61,Christopher Hunn,Wed 06:00p-07:59p,7,30,10,42,140,140,0,Week 04
2018 Spring,Computer Science,198,41833,Directed Group Stdy,Directed Group Study,62,Christopher Hunn,Mon 06:00p-07:59p,3,30,10,31,103.3333,103.3333,0,Week 04
2018 Spring,Computer Science,198,42939,Directed Group Stdy,Directed Group Study,67,Gerald Friedland,Thu 07:00p-08:59p,12,50,0,28,56,56,0,Week 04
2018 Spring,Computer Science,198,42561,Directed Group Stdy,Directed Group Study,71,Anant Sahai,Wed 06:00p-07:59p,8,50,0,16,32,32,0,Week 04
2018 Spring,Computer Science,198,42938,Directed Group Stdy,Directed Group Study,75,Scott Shenker,Thu 06:30p-07:59p,10,146,5,41,28.08219,28.08219,0,Week 04
2018 Spring,Computer Science,198,42415,Directed Group Stdy,Directed Group Study,76,Yi-Ren Ng,Tue Thu 05:00p-06:29p,43,40,0,31,77.5,77.5,0,Week 04
2018 Spring,Computer Science,198,42562,Directed Group Stdy,Directed Group Study,77,Xiaodong Song,Thu Fri 02:00p-03:29p,61,98,0,55,56.12245,56.12245,0,Week 04
2018 Spring,Computer Science,198,42563,Directed Group Stdy,Directed Group Study,78,Alessandro Chiesa,Sat 02:00p-03:59p,43,160,0,89,55.625,55.625,0,Week 04
2018 Spring,Computer Science,198,42565,Directed Group Stdy,Directed Group Study,79,Michael Nylan,Tue Thu 06:00p-06:59p,10,40,10,15,37.5,37.5,0,Week 04
2018 Spring,Computer Science,198,42566,Directed Group Stdy,Directed Group Study,80,Eric Paulos,Tue 05:00p-06:59p,11,20,5,18,90,90,0,Week 04
2018 Spring,Computer Science,198,42330,Directed Group Stdy,Directed Group Study,82,Peter Bartlett,Thu 05:00p-06:59p,96,200,0,95,47.5,47.5,0,Week 04
2018 Spring,Computer Science,198,42184,Directed Group Stdy,Directed Group Study,83,Scott Shenker,Tue 05:00p-06:59p,20,32,20,26,81.25,81.25,0,Week 04
2018 Spring,Computer Science,198,42965,Directed Group Stdy,Directed Group Study,86,Nicholas Weaver,Thu 06:30p-07:59p,7,138,0,43,31.15942,31.15942,0,Week 04
2018 Spring,Computer Science,198,42589,Directed Group Stdy,Directed Group Study,303,Daniel Garcia,Thu 07:00p-08:59p,8,40,5,30,75,75,0,Week 04
2018 Spring,Computer Science,252,37244,Grad Comput Arch,Lecture,1,Krste Asanovic,Mon Wed 02:30p-03:59p,12,15,20,10,66.66667,66.66667,0,Week 04
2018 Spring,Computer Science,260A,35761,User Interfaces,Lecture,1,Bjorn Hartmann,Tue Thu 09:30a-10:59a,69,30,25,16,53.33333,53.33333,0,Week 04
2018 Spring,Computer Science,262A,40168,Adv Topics Comp Sys,Lecture,1,Ali Ghodsi; Ion Stoica,Mon Wed 09:00a-10:29a,31,35,20,31,88.57143,88.57143,0,Week 04
2018 Spring,Computer Science,C267,41757,App Of Parallel Com,Lecture,1,Aydin Buluc; James Demmel; Katherine Yelick,Tue Thu 11:00a-12:29p,119,150,120,104,69.33333,69.33333,0,Week 04
2018 Spring,Computer Science,271,40986,Rand Computation,Lecture,1,Alistair Sinclair,Tue Thu 09:30a-10:59a,66,67,50,56,83.58209,83.58209,0,Week 04
2018 Spring,Computer Science,C280,41758,Computer Vision,Lecture,1,Alexei Efros; Jitendra Malik; Stella Yu,Wed Fri 10:30a-11:59a,198,133,0,111,83.45865,83.45865,0,Week 04
2018 Spring,Computer Science,284A,35765,Computer Graphics,Lecture,1,Yi-Ren Ng,Mon Wed Fri 02:00p-02:59p,32,14,15,14,100,100,0,Week 04
2018 Spring,Computer Science,286A,35766,Intro To Database,Lecture,1,Mehul Shah,Tue Thu 11:00a-12:29p,69,22,30,19,86.36364,86.36364,1,Week 04
2018 Spring,Computer Science,289A,35767,Intro Machine Learn,Lecture,1,Anant Sahai; Jennifer Listgarten,Tue Thu 03:30p-04:59p,348,113,150,101,89.38053,89.38053,0,Week 04
2018 Spring,Computer Science,294,17990,Special Topics,Lecture,43,Alexei Efros; Alexei Efros; Trevor Darrell; Trevor Darrell,Fri 03:00p-03:59p; Mon 10:30a-11:59a,38,25,25,10,40,40,1,Week 04
2018 Spring,Computer Science,294,41669,Special Topics,Lecture,119,Jonathan Bachrach,Tue Thu 03:30p-04:59p,15,30,20,4,13.33333,13.33333,0,Week 04
2018 Spring,Computer Science,294,41751,Special Topics,Lecture,129,John Canny,Mon Wed 05:00p-06:29p,173,42,65,41,97.61905,97.61905,27,Week 04
2018 Spring,Computer Science,294,41582,Special Topics,Lecture,131,Trevor Darrell; Xiaodong Song,Mon 01:00p-02:29p,113,98,98,80,81.63265,81.63265,1,Week 04
2018 Spring,Computer Science,294,17997,Special Topics,Lecture,135,Sanjam Garg,Wed 02:00p-04:59p,24,35,35,15,42.85714,42.85714,0,Week 04
2018 Spring,Computer Science,294,41590,Special Topics,Lecture,144,Gregory La Blanc; Xiaodong Song,Mon 06:00p-07:59p,122,24,20,22,91.66667,91.66667,0,Week 04
2018 Spring,Computer Science,294,41936,Special Topics,Lecture,145,David Williamson,Tue Thu 03:30p-04:59p,18,35,15,22,62.85714,62.85714,0,Week 04
2018 Spring,Computer Science,294,42087,Special Topics,Lecture,146,Yun Song,Tue Thu 05:00p-06:29p,15,30,30,18,60,60,0,Week 04
2018 Spring,Computer Science,294,42160,Special Topics,Lecture,147,Koushik Sen,Mon Wed 02:30p-03:59p,17,35,20,10,28.57143,28.57143,0,Week 04
2018 Spring,Computer Science,298,15530,"Grp Std, Sem, Res",Lecture,2,Umesh Vazirani,Mon 04:00p-05:29p,1,60,25,4,6.666667,6.666667,0,Week 04
2018 Spring,Computer Science,298,42406,"Grp Std, Sem, Res",Lecture,12,Joseph Hellerstein,Fri 12:00p-12:59p,6,20,20,11,55,55,0,Week 04
2018 Spring,Computer Science,370,42385,Intro Teach Compsci,Lecture,1,Christopher Hunn,Tue 05:30p-06:59p,80,30,50,26,86.66667,86.66667,0,Week 04
2018 Spring,Computer Science,370,42386,Intro Teach Compsci,Lecture,2,Christopher Hunn,Thu 02:00p-03:29p,49,30,50,28,93.33333,93.33333,0,Week 04
2018 Spring,Computer Science,375,35842,Teaching Techniques,Discussion,1,An Ju; Armando Fox,Mon 04:00p-05:59p,52,98,60,71,72.44898,72.44898,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,47D,41611,Design Info Dev,Self-paced,1,Grace Zhang; Hannah Li; Laura Waller; Vladimir Stojanovic,,2,50,0,12,24,24,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,47F,41906,Supl Disc Math&Prob,Self-paced,1,Babak Ayazifar; Satish Rao,,,50,0,2,4,4,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,C106B,39337,Robotic Manipulatio,Lecture,1,Ruzena Bajcsy,Tue Thu 11:00a-12:29p,16,35,10,17,48.57143,48.57143,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,126,39331,Prob & Random P,Lecture,1,Kannan Ramchandran,Tue Thu 02:00p-03:29p,307,245,100,237,96.73469,96.73469,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,127,39307,Optimization Models,Lecture,1,Laurent El Ghaoui,Tue Thu 11:00a-12:29p,289,156,120,158,101.2821,101.2821,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,151,35881,Intro Dig Inte Cir,Lecture,1,John Wawrzynek; Nicholas Weaver,Tue Thu 05:00p-06:29p,14,33,10,15,45.45455,45.45455,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,151LA,35884,Intro Dig Des Ic As,Laboratory,101,John Wawrzynek; Nicholas Weaver; Taehwan Kim,Wed 05:00p-07:59p,3,38,5,5,13.15789,13.15789,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,151LB,35886,Dig Des Ic Fpga Lab,Laboratory,101,Arya Reais-Parsi; John Wawrzynek; Nicholas Weaver,Thu 02:00p-04:59p,3,38,5,5,13.15789,13.15789,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,151LB,35887,Dig Des Ic Fpga Lab,Laboratory,102,Arya Reais-Parsi; John Wawrzynek; Nicholas Weaver,Wed 02:00p-04:59p,1,38,5,8,21.05263,21.05263,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,206B,39550,Robotic Manipulatio,Lecture,1,Ruzena Bajcsy,Tue Thu 11:00a-12:29p,15,10,5,2,20,20,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,219C,42390,Formal Methods,Lecture,1,Sanjit Seshia,Mon Wed 01:00p-02:29p,9,20,10,20,100,100,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,227AT,39311,Optimization Models,Lecture,1,Laurent El Ghaoui,Tue Thu 11:00a-12:29p,87,39,30,43,110.2564,110.2564,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,251A,35889,Intro Dig Des Ic,Lecture,1,John Wawrzynek; Nicholas Weaver,Tue Thu 05:00p-06:29p,3,12,10,2,16.66667,16.66667,0,Week 04
2018 Spring,Electrical Eng & Computer Sci,251LA,35892,Intro Dig Des Ic As,Laboratory,101,John Wawrzynek; Nicholas Weaver; Taehwan Kim,Wed 05:00p-07:59p,1,20,5,3,15,15,0,Week 04
2018 Spring,Electrical Engineering,16A,35897,Design Info Dev I,Lecture,1,Grace Zhang; Hannah Li; Laura Waller; Vladimir Stojanovic,Tue Thu 05:00p-06:29p,676,833,500,825,99.03962,99.03962,6,Week 04
2018 Spring,Electrical Engineering,16B,35922,Design Info Dev Ii,Lecture,1,Arda Sahiner; Jaijeet Roychowdhury; Karina Chang; Michel Maharbiz; Nikunj Jain,Tue Thu 02:00p-03:29p,438,716,300,631,88.12849,88.12849,2,Week 04
2018 Spring,Electrical Engineering,49,41163,Electronics For Iot,Lecture,1,Bernhard Boser; Kameshwar Poolla,Tue Thu 08:00a-09:29a,53,100,20,64,64,64,0,Week 04
2018 Spring,Electrical Engineering,105,35961,Micro Dev & Cir,Lecture,1,Ali Niknejad,Tue Thu 09:30a-10:59a,26,50,15,39,78,78,0,Week 04
2018 Spring,Electrical Engineering,113,35970,Power Electronics,Lecture,1,Seth Sanders,Mon Wed 09:30a-10:59a,8,25,15,2,8,8,0,Week 04
2018 Spring,Electrical Engineering,117,35973,Em Fields & Wav,Lecture,1,Eli Yablonovitch,Mon Wed Fri 11:00a-11:59a,13,25,25,25,100,100,0,Week 04
2018 Spring,Electrical Engineering,120,35976,Signals And Systems,Lecture,1,Thomas Courtade,Mon Wed 02:00p-03:59p,67,102,30,83,81.37255,81.37255,0,Week 04
2018 Spring,Electrical Engineering,122,35980,Comm Networks,Lecture,1,Shyam Parekh,Tue Thu 05:30p-06:59p,33,52,65,35,67.30769,67.30769,0,Week 04
2018 Spring,Electrical Engineering,123,35983,Digit Sig Process,Lecture,1,Lihao Yeh; Nicholas Antipa; Shimon Lustig,Mon Wed Fri 09:00a-09:59a,51,87,20,64,73.56322,73.56322,0,Week 04
2018 Spring,Electrical Engineering,C128,35990,Feedback Cntrl Sys,Lecture,1,Somayeh Sojoudi,Tue Thu 12:30p-01:59p,27,45,70,25,55.55556,55.55556,0,Week 04
2018 Spring,Electrical Engineering,130,35997,Ic Devices,Lecture,1,Sayeef Salahuddin,Tue Thu 02:00p-03:29p,7,30,40,22,73.33333,73.33333,0,Week 04
2018 Spring,Electrical Engineering,134,35999,Photovoltaic Devic,Lecture,1,Ana Arias,Mon Wed 10:00a-11:29a,27,38,40,26,68.42105,68.42105,0,Week 04
2018 Spring,Electrical Engineering,137B,36002,Elec Power Systems,Lecture,1,Alexandra Von Meier,Mon Wed 04:00p-05:29p,24,36,10,30,83.33333,83.33333,0,Week 04
2018 Spring,Electrical Engineering,140,36004,Lin Integ Circ,Lecture,1,Kristofer Pister,Mon Wed Fri 04:00p-04:59p,14,30,10,20,66.66667,66.66667,0,Week 04
2018 Spring,Electrical Engineering,143,36011,Microfab Tech,Lecture,1,Ali Javey,Tue Thu 12:30p-01:59p,19,40,45,36,90,90,0,Week 04
2018 Spring,Electrical Engineering,192,36018,Mechtron Design Lab,Lecture,1,Ronald Fearing,Tue 05:00p-06:29p,16,36,30,23,63.88889,63.88889,0,Week 04
2018 Spring,Electrical Engineering,194,37231,Special Topics,Lecture,1,Kristofer Pister; Osama Khan,Tue Thu 03:30p-04:59p,3,20,15,7,35,35,0,Week 04
2018 Spring,Electrical Engineering,197,42820,Field Study,Field Work,5,Jaijeet Roychowdhury; Michel Maharbiz,,,100,0,9,9,9,0,Week 04
2018 Spring,Electrical Engineering,197,42821,Field Study,Field Work,6,Laura Waller; Vladimir Stojanovic,,2,100,0,29,29,29,0,Week 04
2018 Spring,Electrical Engineering,197,42940,Field Study,Field Work,7,Kannan Ramchandran; Sinho Chewi,,,100,0,3,3,3,0,Week 04
2018 Spring,Electrical Engineering,198,36034,Directed Group Stdy,Directed Group Study,6,Pieter Abbeel,Mon 08:00p-09:59p,,30,20,21,70,70,0,Week 04
2018 Spring,Electrical Engineering,198,36037,Directed Group Stdy,Directed Group Study,13,Shimon Lustig,Wed 06:30p-08:29p,19,51,20,47,92.15686,92.15686,0,Week 04
2018 Spring,Electrical Engineering,198,42084,Directed Group Stdy,Directed Group Study,15,Pieter Abbeel,Mon 06:30p-08:29p,2,40,10,12,30,30,0,Week 04
2018 Spring,Electrical Engineering,198,42085,Directed Group Stdy,Directed Group Study,16,Pieter Abbeel,Thu 06:30p-08:29p,2,40,10,13,32.5,32.5,0,Week 04
2018 Spring,Electrical Engineering,213A,36899,Power Electronics,Lecture,1,Seth Sanders,Mon Wed 09:30a-10:59a,3,25,5,8,32,32,0,Week 04
2018 Spring,Electrical Engineering,C220C,37031,Experiental Cntr Ii,Lecture,1,Andrew Packard; Francesco Borrelli,Tue Thu 03:30p-04:59p,,15,15,2,13.33333,13.33333,0,Week 04
2018 Spring,Electrical Engineering,C222,39423,Nonlinear Systems,Lecture,1,Murat Arcak,Mon Wed 02:00p-03:29p,15,30,12,25,83.33333,83.33333,0,Week 04
2018 Spring,Electrical Engineering,223,39355,Stoch Sys Est & Con,Lecture,1,Venkatacha Anantharam,Mon Wed 04:30p-05:59p,24,25,5,16,64,64,0,Week 04
2018 Spring,Electrical Engineering,225B,42701,Dig Imag Proc,Lecture,1,Avideh Zakhor,Tue Thu 09:30a-10:59a,26,40,10,29,72.5,72.5,0,Week 04
2018 Spring,Electrical Engineering,C227C,36119,Convex Opt & Ap,Lecture,1,Moritz Hardt,Tue Thu 12:30p-01:59p,82,66,20,51,77.27273,77.27273,0,Week 04
2018 Spring,Electrical Engineering,230A,36120,Ic Devices,Lecture,1,Sayeef Salahuddin,Tue Thu 02:00p-03:29p,4,10,18,8,80,80,0,Week 04
2018 Spring,Electrical Engineering,230B,36123,Solid State Devices,Lecture,1,Vivek Subramanian,Tue Thu 11:00a-12:29p,13,19,30,19,100,100,0,Week 04
2018 Spring,Electrical Engineering,W230B,42548,Solid State Devices,Web-Based Lecture,1,Vivek Subramanian,,,10,10,3,30,30,0,Week 04
2018 Spring,Electrical Engineering,232,36125,Lightwave Devices,Lecture,1,Ming-Chiang Wu,Tue Thu 12:30p-01:59p,7,30,30,23,76.66667,76.66667,0,Week 04
2018 Spring,Electrical Engineering,240A,36127,Ana Integ Circ,Lecture,1,Kristofer Pister,Mon Wed Fri 04:00p-04:59p,6,20,17,4,20,20,0,Week 04
2018 Spring,Electrical Engineering,240B,36135,Adv Analog Int Circ,Lecture,1,Elad Alon,Tue Thu 11:00a-12:29p,20,40,30,32,80,80,0,Week 04
2018 Spring,Electrical Engineering,241B,36137,Adv Digital Int Cir,Lecture,1,Borivoje Nikolic,Tue Thu 09:30a-10:59a,3,22,30,14,63.63636,63.63636,0,Week 04
2018 Spring,Electrical Engineering,W241B,36138,Adv Digital Int Cir,Web-Based Lecture,1,Borivoje Nikolic,12:00a-12:00a,1,10,8,2,20,20,0,Week 04
2018 Spring,Electrical Engineering,W242B,36140,Adv Ics For Comm,Web-Based Lecture,1,Ali Niknejad,12:00a-12:00a,1,10,10,1,10,10,0,Week 04
2018 Spring,Electrical Engineering,C247B,36141,Intro Mems Design,Lecture,1,Clark Nguyen,Tue Thu 11:00a-12:29p,9,20,20,16,80,80,0,Week 04
2018 Spring,Electrical Engineering,290C,37249,Circuit Design,Lecture,1,Kristofer Pister; Osama Khan,Tue Thu 03:30p-04:59p,,20,5,5,25,25,0,Week 04
2018 Spring,Electrical Engineering,W290C,42549,Circuit Design,Web-Based Lecture,1,Elad Alon,,,10,10,6,60,60,0,Week 04
2018 Spring,Electrical Engineering,290P,39366,Bioelectronics,Lecture,1,Rikky Muller,Mon Wed 03:00p-04:29p,14,30,6,19,63.33333,63.33333,0,Week 04
2018 Spring,Electrical Engineering,C291E,41038,Hybrid Sys & Contrl,Lecture,1,Claire Tomlin,Tue Thu 09:30a-10:59a,18,31,10,28,90.32258,90.32258,0,Week 04
2018 Spring,Electrical Engineering,298,17383,"Gr Stu, Sem, Gr Res",Lecture,8,John Wawrzynek,Fri 12:00p-01:29p,2,70,30,21,30,30,0,Week 04
2018 Spring,Electrical Engineering,375,36246,Teaching Elec Eng,Seminar,1,Prabal Dutta,Mon 05:00p-06:29p,30,51,45,62,121.5686,121.5686,0,Week 04
2018 Spring,English,R1A,23796,Reading And Comp,Lecture,1,Jennifer Lorden; Katherine Snyder,Mon Wed Fri 10:00a-10:59a,26,19,0,19,100,100,0,Week 04
2018 Spring,English,R1A,23797,Reading And Comp,Lecture,2,Ernest Artiz; Katherine Snyder,Mon Wed Fri 11:00a-11:59a,15,17,0,17,100,100,0,Week 04
2018 Spring,English,R1A,23798,Reading And Comp,Lecture,3,Katherine Snyder; Madeline Lesser,Mon Wed Fri 12:00p-12:59p,25,17,0,17,100,100,0,Week 04
